"","COUNTY","POPULATION","Population.density","Metropolitan.Status","NCHS.Urban.Rural.Status","maxB_fall","county_enroll","Hybrid","On_Premises","Online_Only","Other","Pending","Unknown","major_teaching","avgB_fall","avgB_m3w","avgB_m1w_p2w","avgB_p3w","avg_full_work_prob","avg2_full_work_prob"
"1","ADAMS",27960,47.44,"Non-metro","Noncore",0.01008417,4976,1,0,0,0,0,0,"Hybrid",0.00067528749725,-0.00127033092380952,-0.000303461553809524,0.000542102841428571,0.0535677957719549,0.0592209967060179
"2","ALLEN",106160,254.29,"Metro","Small metro",0.02250738,16319,0.48,0.47,0.05,0,0,0,"Hybrid",0.00270334014666667,-0.00388879895238095,-0.00420462433333333,-0.00250808350952381,0.0523000690741241,0.0546983830722361
"3","ASHLAND",53973,126.45,"Non-metro","Micropolitan",0.02390998,7452,0.73,0,0.13,0.14,0,0,"Hybrid",0.00122460503916667,0.00055961975952381,0.00468033228571429,0.00701688833333333,0.0557349584281372,0.0571516606523862
"4","ASHTABULA",98637,138.51,"Non-metro","Micropolitan",0.02649766,12031,0.63,0.26,0.11,0,0,0,"Hybrid",0.0024366553075,5.54790719047619e-05,-0.0019464030952381,-0.00242078138095238,0.0491586220980844,0.0507364394714949
"5","ATHENS",67121,129.71,"Non-metro","Micropolitan",0.004216025,7412,0.64,0,0.36,0,0,0,"Hybrid",0.00211255468308333,-0.000858156185714286,-0.00033261263,5.8393289047619e-05,0.0436709651114652,0.044627299815034
"6","AUGLAIZE",46441,113.75,"Non-metro","Micropolitan",0.01518085,8238,0.21,0.79,0,0,0,0,"On Premises",0.000988098521666667,0.00128518057619048,0.000775069980952381,0.000982192076190476,0.0568517056825326,0.0599384168514083
"7","BELMONT",69738,125.92,"Metro","Small metro",0.01337951,11695,0.31,0.21,0.14,0.2,0.15,0,"Hybrid",0.00344836812391667,-0.000970691871428571,-0.000669612485714286,-0.00031139173952381,0.0611761500492073,0.0718876091909903
"8","BROWN",44644,88.63,"Metro","Large fringe metro",0.01032328,7499,0.44,0,0.14,0.42,0,0,"Hybrid",0.00189963920591667,0.00139232187142857,0.00183644528571429,0.00202854576190476,0.0613991609162239,0.0564485291906215
"9","BUTLER",383683,821.24,"Metro","Large fringe metro",0.02756242,55213,0.11,0.22,0.61,0.05,0,0,"Online Only",0.00392326426475,0.00234242552728571,-0.0036397870952381,-0.00233030358,0.0540985943242341,0.0560466868002085
"10","CARROLL",28342,68.2,"Metro","Medium metro",0.005300082,3156,0.79,0.21,0,0,0,0,"Hybrid",0.000898784424833333,-0.00127946561428571,-0.00113743204285714,-0.000534195067619048,0.0604454757148735,0.0643065948046462
"11","CHAMPAIGN",39686,90.64,"Non-metro","Micropolitan",0.01674499,6884,0.46,0.54,0,0,0,0,"On Premises",0.00151251029758333,-0.000956195195238095,-0.00119113457142857,-0.000865508166666667,0.0541104434616838,0.0585079303495707
"12","CLARK",136118,337.84,"Metro","Small metro",0.01595361,17475,0.35,0.1,0,0.46,0.09,0,"Hybrid",0.00441936035333333,0.0023923067,0.00308721255714286,0.00716996516666667,0.051180055277085,0.053115531036745
"13","CLERMONT",207047,456.58,"Metro","Large fringe metro",0.02536895,68718,0.21,0.17,0.52,0.02,0.07,0,"Online Only",0.00436438342610833,0.00577207819047619,0.00628342276190476,0.0039042157047619,0.05944518709776,0.0642957386433441
"14","CLINTON",42835,102.69,"Non-metro","Micropolitan",0.01806892,7777,0.4,0.23,0.37,0,0,0,"Hybrid",0.0012392253765,-0.00146289209047619,-0.00473550566666667,-0.00427843971428571,0.0569163649858083,0.0607276848518548
"15","COLUMBIANA",104768,191.54,"Non-metro","Micropolitan",0.01891669,17041,0.51,0.12,0.2,0.18,0,0,"Hybrid",0.00137340023991667,0.00118902188095238,-0.00687731328571429,-0.00660155423809524,0.0568316647578255,0.0636324993989831
"16","COSHOCTON",36517,64.9,"Non-metro","Micropolitan",0.01044542,5149,1,0,0,0,0,0,"Hybrid",0.00206492977700833,-0.00178603452380952,-0.000720588149476191,-9.67857542380952e-05,0.0537841959166092,0.0627990209994866
"17","CRAWFORD",42887,103.27,"Non-metro","Micropolitan",0.01604821,6701,0,0.54,0.46,0,0,0,"On Premises",0.00282952678758333,0.000444201932380952,0.000348829932857143,0.00128095933857143,0.0535687540512673,0.0587767986621111
"18","CUYAHOGA",1256007,2701.49,"Metro","Large central metro",0.05023842,98343,0.23,0.03,0.44,0.06,0.25,0,"Online Only",0.00426222698916667,-0.0161753871428571,-0.0132521030952381,-0.00894832332380952,0.0538436506478442,0.0546552070259273
"19","DARKE",52255,85.46,"Non-metro","Micropolitan",0.01224485,8651,0.33,0.24,0.43,0,0,0,"Online Only",0.00205205964891667,-0.00408685097142857,-0.00330144053333333,-0.000711374819047619,0.0625861868375877,0.0684502446133014
"20","DEFIANCE",38671,92.57,"Non-metro","Micropolitan",0.02464774,6687,0.49,0.51,0,0,0,0,"On Premises",0.00188226179083333,-8.14747969523809e-05,-0.0033382060952381,-0.00393543028571429,0.0571583487518943,0.0583960082227527
"21","DELAWARE",200271,472.01,"Metro","Large fringe metro",0.02131889,64485,0.44,0,0.56,0,0,0,"Online Only",0.00382515053858333,0.00199653890857143,0.00398837004761905,0.00311915155428571,0.0481219359270263,0.0495937408588646
"22","ERIE",75969,295.43,"Non-metro","Micropolitan",0.018326,14910,0.76,0.11,0,0,0,0.13,"Hybrid",0.00408363087333333,-0.000130016264285714,-0.00213597021904762,-0.00238910095238095,0.0524110870493795,0.0522283799057831
"23","FAIRFIELD",154686,312.39,"Metro","Large fringe metro",0.01585617,15684,0.95,0,0.05,0,0,0,"Hybrid",0.00124683364666667,-0.0119837038095238,-0.00750719546666667,-0.0026699412047619,0.0479488888739327,0.0512115528066584
"24","FAYETTE",28901,70.2,"Non-metro","Micropolitan",0.007402583,4900,1,0,0,0,0,0,"Hybrid",0.000197955763083333,-0.00165441324761905,-0.0021291159047619,-0.000466175261904762,0.0552503968301903,0.062603781841926
"25","FRANKLIN",1283688,2473.19,"Metro","Large central metro",0.04050314,177683,0.37,0,0.63,0,0,0,"Online Only",0.000173412504166667,-0.00762895795238095,-0.00388612952380952,-0.00430984071428571,0.0428997957682467,0.0437143536105291
"26","FULTON",43046,103.9,"Metro","Medium metro",0.0155176,8188,0.3,0.52,0,0,0.18,0,"On Premises",0.00158290048466667,0.00107670640761905,0.00717120195238095,0.0110706776190476,0.0731783463683521,0.0759601670419389
"27","GALLIA",30178,64.09,"Non-metro","Micropolitan",0.009720625,4364,0,0,0.47,0.53,0,0,"Online Only",0.000750772933083333,-0.00242179898095238,-0.00423469042857143,-0.00422798357142857,0.0674300629468807,0.0728958258526218
"28","GEAUGA",95079,233.95,"Metro","Large fringe metro",0.02518855,10764,0.54,0.2,0.26,0,0,0,"Hybrid",0.00233704725341667,-0.000861831847619048,-0.0010289071,-0.00138663147619048,0.0588899401960988,0.0627662179483467
"29","GREENE",164894,408.43,"Metro","Medium metro",0.02476499,23329,0.61,0.15,0,0.25,0,0,"Hybrid",0.00315200988341667,0.0022511790952381,0.000989456018095238,0.000275752299047619,0.050057191194374,0.0540332523939277
"30","GUERNSEY",40217,74.44,"Non-metro","Micropolitan",0.006970994,5189,1,0,0,0,0,0,"Hybrid",0.00116857021504167,0.00028301005952381,0.000194503988095238,-0.000207236021428571,0.053630441361979,0.0580532445989439
"31","HAMILTON",824286,2016.42,"Metro","Large central metro",0.0350743,92949,0.42,0.02,0.47,0,0.1,0,"Online Only",0.00656398144916667,-0.0113289729047619,-0.00400996564761905,0.00225569706666667,0.0541964201786927,0.0570436407913658
"32","HANCOCK",76096,142.63,"Non-metro","Micropolitan",0.0148092,13232,0.95,0.05,0,0,0,0,"Hybrid",0.00199458014908333,0.00177308819047619,0.00336245047619048,0.00447050452380952,0.0486486552287906,0.0491360993067755
"33","HARDIN",32035,66.69,"Non-metro","Noncore",0.01043264,4205,0.45,0.55,0,0,0,0,"On Premises",0.00109308883508333,-0.000902882485714286,-0.00028079118047619,0.00064730970047619,0.0540908958912877,0.0565280953399276
"34","HENRY",28103,64.92,"Non-metro","Noncore",0.008903699,4776,0.1,0.9,0,0,0,0,"On Premises",0.000185361467916667,0.00250778782380952,-0.00785743823809524,-0.00834558271428571,0.0702328826282887,0.0732987078496359
"35","HIGHLAND",43401,78.04,"Non-metro","Noncore",0.01232017,5302,0.38,0.62,0,0,0,0,"On Premises",0.000689965861758333,-0.00136664371904762,0.000853353714809524,0.0037140901957619,0.057712623226583,0.059911764371442
"36","HOCKING",28798,67.08,"Metro","Large fringe metro",0.01338955,5844,1,0,0,0,0,0,"Hybrid",0.00095259774425,-0.000371337628571429,-0.000408776206666667,-8.58039138095238e-05,0.0481122733907158,0.0516771874871908
"37","HOLMES",44547,104.03,"Non-metro","Noncore",0.02187104,5149,0.31,0.27,0.42,0,0,0,"Online Only",0.00297334268035583,-9.06575938095238e-05,0.00186147364285714,0.00319683761904762,0.0618481141877679,0.0654537421589975
"38","HURON",59187,118.55,"Non-metro","Micropolitan",0.02337015,10312,0.61,0.27,0,0,0.12,0,"Hybrid",0.00279881741583333,-0.00102291206238095,0.00185865407095238,0.00407515227619048,0.0556588234758912,0.0595335113804214
"39","JACKSON",32585,77.12,"Non-metro","Micropolitan",0.01380098,5216,0.47,0,0.3,0,0,0.23,"Hybrid",0.001498596914,0.00256141971428571,-0.000178627553333333,-0.00175157722,0.060051328598157,0.0635924405659096
"40","JEFFERSON",68324,160.06,"Metro","Small metro",0.0277126,6790,0.47,0.53,0,0,0,0,"On Premises",0.00505118764991667,-0.00136924138095238,-0.000911315357142857,-0.000616510271428571,0.0595129463176777,0.0661967428466428
"41","KNOX",62424,118.59,"Non-metro","Micropolitan",0.01533207,4117,0,0.23,0.32,0.45,0,0,"Online Only",0.00183975132175,-0.00667998204761905,-0.000762694109047619,0.00103660474809524,0.0538492519209629,0.0548629413447407
"42","LAKE",232189,1003.83,"Metro","Large fringe metro",0.04177848,27275,0.56,0.06,0.08,0,0.3,0,"Hybrid",0.00476160537085,0.00311288448571429,0.0034881641667619,0.000185481357238095,0.0508514306918952,0.0568997927487477
"43","LAWRENCE",61501,131.16,"Metro","Medium metro",0.006873544,9734,0.66,0.34,0,0,0,0,"Hybrid",0.000263794672666667,-0.00577382271428571,-0.00600111419047619,-0.004125303,0.0669259084768729,0.0727028343420583
"44","LICKING",173198,259.16,"Metro","Large fringe metro",0.01682061,28990,0.62,0.13,0.16,0,0.09,0,"Hybrid",0.00404882181233333,-0.00645573828571429,-0.00160096327619048,-0.000572801867619048,0.0500708252180143,0.0525401326022038
"45","LOGAN",46730,99.61,"Non-metro","Micropolitan",0.01740499,6706,0.37,0.63,0,0,0,0,"On Premises",0.00218809184291667,-0.000269499086190476,-0.0012663944952381,-0.000872632447619048,0.0537368508759999,0.0542710935913254
"46","LORAIN",307873,630.77,"Metro","Large fringe metro",0.03358217,43143,0.84,0,0.11,0.04,0,0,"Hybrid",0.0087928892485,-0.0045189512952381,-0.00586240519047619,-0.00329528174285714,0.046764545384029,0.0490964496265055
"47","LUCAS",434635,1261.13,"Metro","Medium metro",0.03434827,51573,0.34,0.06,0.6,0,0,0,"Online Only",0.008115345295,-0.00541863723809524,-0.00660237738095238,-0.00607646371428571,0.0517099956350465,0.0540387251219175
"48","MADISON",45193,96.03,"Metro","Large fringe metro",0.009887082,7050,0.52,0.17,0,0,0.31,0,"Hybrid",0.00111543257575,0.000923182726190476,-0.000845761830952381,-0.0015755073,0.0538953022397517,0.0553374628358705
"49","MAHONING",228561,555.73,"Metro","Medium metro",0.03245987,23873,0.62,0.03,0.15,0.2,0,0,"Hybrid",0.00466636070083333,-0.00565684667309524,0.00346223689833333,0.00755595647619048,0.059962703865276,0.0647963256071065
"50","MARION",65815,161.2,"Non-metro","Micropolitan",0.02079058,10031,0.52,0,0,0,0.48,0,"Hybrid",0.00310038407933333,-0.00216798208571429,0.00013168521047619,0.00107030424857143,0.0455420584148945,0.0463676824874134
"51","MEDINA",179953,426.49,"Metro","Large fringe metro",0.02889157,28109,0.21,0.26,0,0,0.53,0,"On Premises",0.006010608658925,0.000159000846190476,0.000444315046238095,0.00158509798433333,0.0516744985925769,0.0544398239865966
"52","MEIGS",23468,53.26,"Non-metro","Noncore",0.00623414,3388,0.74,0.26,0,0,0,0,"Hybrid",-0.000188174485833333,0.00210614080952381,-0.00536399992380952,-0.00707612657142857,0.0608177373449277,0.0657247432474014
"53","MERCER",41581,89.03,"Non-metro","Micropolitan",0.01812674,7906,0,0.89,0.11,0,0,0,"On Premises",0.000754386829583333,0.000289912786190476,0.00424171535714286,0.00517103395238095,0.0663520989326354,0.0689651266924782
"54","MIAMI",106439,263.18,"Metro","Medium metro",0.01703211,12826,0.69,0.31,0,0,0,0,"Hybrid",0.00367086924916667,-5.58416623809524e-05,0.00292491503809524,0.00328984581904762,0.058967865369735,0.0637984876076895
"55","MONROE",14881,29.96,"Non-metro","Noncore",0.005805076,2374,0,0,0,1,0,0,"Hybrid",0.001582838513625,-0.000384504752380952,-0.000145948018095238,-3.6682853047619e-05,0.0671713159616982,0.081341797389238
"56","MONTGOMERY",533054,1152.04,"Metro","Medium metro",0.03432661,59298,0.43,0.09,0.34,0,0.14,0,"Hybrid",0.00715282191833333,-0.00486203803857143,0.00485977858047619,0.00715615642857143,0.0478873689421797,0.0485185254565628
"57","MORGAN",15051,34.84,"Non-metro","Noncore",0.01409135,1846,1,0,0,0,0,0,"Hybrid",0.000949106951333333,-0.000113544104809524,-0.000335924119047619,-0.000400543642857143,0.0589971976898032,0.0652597332595589
"58","MORROW",35214,86.99,"Metro","Large fringe metro",0.009130311,5341,0.41,0.24,0,0,0.34,0,"Hybrid",0.000892446092391667,-0.000286616676190476,-0.000133057352380952,-0.000135942457142857,0.0539199038161223,0.0593673667163791
"59","MUSKINGUM",86392,129.74,"Non-metro","Micropolitan",0.03118787,11515,1,0,0,0,0,0,"Hybrid",0.00477996775833333,-0.00023359624,0.00179946148857143,0.00306587733333333,0.0559269367278218,0.0605255663830204
"60","NOBLE",14654,36.24,"Non-metro","Noncore",0.01906855,1860,1,0,0,0,0,0,"Hybrid",0.000875295680416667,-0.000568048852380952,-0.00056016145,0.000186997321428571,0.0719088800918928,0.081325640338337
"61","OTTAWA",41634,159.1,"Non-metro","Micropolitan",0.01004004,6616,0.65,0.35,0,0,0,0,"Hybrid",0.00193066554766667,-0.00286856076190476,-0.00141427623809524,-0.000817090695238095,0.0588871013972766,0.0601569557640037
"62","PAULDING",18969,44.84,"Non-metro","Noncore",0.006288702,3230,0,1,0,0,0,0,"On Premises",0.000540066808833333,-0.000173586128095238,0.000700653686190476,0.00176193732857143,0.0589396874570072,0.0594145546433884
"63","PERRY",36317,88.58,"Metro","Large fringe metro",0.01162144,3771,0.71,0.29,0,0,0,0,"Hybrid",0.000792598996916667,-0.002801732,-0.00249503352380952,-0.00192698728571429,0.0567441055772597,0.0601089283255093
"64","PICKAWAY",57777,116.63,"Metro","Large fringe metro",0.009732997,10248,0.84,0,0,0.16,0,0,"Hybrid",0.000950548525,0.000299517264380952,0.000784042723428571,0.00149704371904762,0.051025340067688,0.0518255647752888
"65","PIKE",28427,63.08,"Non-metro","Noncore",0.007407978,5135,0.19,0.41,0.41,0,0,0,"On Premises",0.0015118003192,-3.06232233809524e-05,-9.28578176190476e-05,-0.000112443145714286,0.0572691286112993,0.0599076493632399
"66","PORTAGE",165891,333.33,"Metro","Medium metro",0.02025874,20789,0.84,0,0.08,0.05,0,0.02,"Hybrid",0.00369892950308333,-0.00063143825,0.000447573604761905,0.00063736139047619,0.0515281445344281,0.0552516676170099
"67","PREBLE",41983,96.37,"Non-metro","Noncore",0.01573775,6610,0.77,0.23,0,0,0,0,"Hybrid",4.48909928333333e-05,-0.0026086245647619,-0.00643291614285714,-0.00518488328571429,0.057025398313428,0.0615230614109122
"68","PUTNAM",34371,70.17,"Non-metro","Noncore",0.01939931,4448,0.49,0.39,0,0,0,0.12,"Hybrid",0.000410634865833333,0.00318584946380952,-0.000468425840952381,0.000147087585714286,0.0739241597912524,0.0782550141411177
"69","RICHLAND",122462,244.66,"Metro","Small metro",0.02701165,13960,0.56,0.08,0.22,0,0,0.15,"Hybrid",0.00852927444083333,-0.00332184463333333,0.000799218247619048,0.00304258178571429,0.0485369107047474,0.0523452807960144
"70","ROSS",78124,111.24,"Non-metro","Micropolitan",0.01073693,11404,0.48,0.41,0.11,0,0,0,"Hybrid",0.00117208934416667,0.00116421306190476,0.00129552398571429,0.00230743655714286,0.0549917317183621,0.0572579325020503
"71","SANDUSKY",59603,143.34,"Non-metro","Micropolitan",0.0225279,9287,0.44,0,0,0.12,0.44,0,"Hybrid",0.00270596815616667,-5.26039380952382e-06,-5.10711328571429e-05,0.00033125091952381,0.0514181604591041,0.051085044005398
"72","SCIOTO",77997,123.42,"Non-metro","Micropolitan",0.01948355,11926,0.74,0,0.26,0,0,0,"Hybrid",0.00424951872691667,0.00042630711,-0.00153054848571429,-0.0010399378652381,0.0565564691946865,0.0607430656266378
"73","SENECA",56072,100.14,"Non-metro","Micropolitan",0.02079577,7535,0.69,0.06,0,0,0.25,0,"Hybrid",0.0034440508775,-0.00393163571428571,-0.00163976823809524,-0.001633773,0.0573903235784909,0.063707367642461
"74","SHELBY",49965,119.18,"Non-metro","Micropolitan",0.01789187,8421,0.77,0.23,0,0,0,0,"Hybrid",-0.000245401299416667,0.00538829344761905,-0.00134338943714286,-0.00398275750380952,0.0617890499404475,0.0655278729017608
"75","STARK",380527,644.18,"Metro","Medium metro",0.04917095,59856,0.76,0.09,0.11,0.02,0.02,0,"Hybrid",0.0109075839348333,-0.00200394952857143,4.24283609523809e-05,0.000902031937142857,0.0540315029218993,0.0571365726745784
"76","SUMMIT",546646,1310.63,"Metro","Medium metro",0.04392029,66890,0.54,0.04,0.38,0,0.04,0,"Hybrid",0.0135776886983333,-0.004965424,-0.00296873237619048,0.000768654623809524,0.0492655764459961,0.0508606919259351
"77","TRUMBULL",202898,320.3,"Metro","Medium metro",0.05351244,28142,0.7,0.02,0.07,0,0.21,0,"Hybrid",0.00869603993916667,-0.009486196,-0.00998706595238095,-0.00748711871428571,0.0505717157169113,0.0539808524219495
"78","TUSCARAWAS",94102,162.11,"Non-metro","Micropolitan",0.02391732,10242,0.8,0.06,0.14,0,0,0,"Hybrid",0.00701686171333333,-0.00174703438047619,-0.000351103304761905,0.00362690993333333,0.0644794595169738,0.0721314311437057
"79","UNION",56196,136.63,"Metro","Large fringe metro",0.01040355,24744,1,0,0,0,0,0,"Hybrid",0.00271112377433333,0.000387890008190476,-0.000159946981809524,0.000387115171904762,0.0516625858913681,0.0528993507433961
"80","VAN WERT",28824,69.11,"Non-metro","Micropolitan",0.02044488,4655,0.18,0.82,0,0,0,0,"On Premises",0.0007289826845,-0.000134310618095238,-0.000539815228571429,-0.000345623868095238,0.069105399801584,0.0729489169961011
"81","WARREN",230546,584.77,"Metro","Large fringe metro",0.03124082,39508,0.51,0.46,0.04,0,0,0,"Hybrid",0.00534203365275833,0.00646204523809524,0.00576175452380952,0.00359374922380952,0.0563622964414189,0.0600195121044349
"82","WASHINGTON",61549,94.8,"Non-metro","Micropolitan",0.01726767,5312,0.88,0.12,0,0,0,0,"Hybrid",0.00200712996475,-0.00121675530952381,0.000203987541428571,0.00117243813666667,0.0537698683873438,0.0569505055484572
"83","WAYNE",117082,208.56,"Non-metro","Micropolitan",0.02268753,14429,0.56,0.25,0,0.19,0,0,"Hybrid",0.00342276661666667,-0.000421262152380952,-0.00395945914285714,-0.00335172076666667,0.0584052107730143,0.060072521670971
"84","WILLIAMS",37663,87.22,"Non-metro","Noncore",0.02255088,6076,0.2,0.71,0,0,0.08,0,"On Premises",0.00424917043833333,0.000406089087190476,0.000859689561904762,0.000782766028571429,0.058524170676846,0.0621900940760731
"85","WOOD",131905,211.96,"Metro","Medium metro",0.02085868,20781,0.62,0.14,0.15,0,0.09,0,"Hybrid",0.00096718101775,0.00280302909333333,-0.00249815606857143,-0.0021171964,0.0526703414507259,0.0560190817063487
"86","WYANDOT",22340,53.51,"Non-metro","Noncore",0.01026335,3476,1,0,0,0,0,0,"Hybrid",0.00255227497491667,-0.00273470928571429,-0.00140405666666667,-0.00085739109047619,0.0655637180704526,0.0700395465060169
