"","COUNTY","max_B","major_teaching","NCHS.Urban.Rural.Status"
"1","ADAMS",0.01008417,"Hybrid","Noncore"
"2","ALLEN",0.02250738,"Hybrid","Small metro"
"3","ASHLAND",0.02390998,"Hybrid","Micropolitan"
"4","ASHTABULA",0.02649766,"Hybrid","Micropolitan"
"5","ATHENS",0.004216025,"Hybrid","Micropolitan"
"6","AUGLAIZE",0.01518085,"On Premises","Micropolitan"
"7","BELMONT",0.01337951,"Hybrid","Small metro"
"8","BROWN",0.01032328,"Hybrid","Large fringe metro"
"9","BUTLER",0.02756242,"Online Only","Large fringe metro"
"10","CARROLL",0.005300082,"Hybrid","Medium metro"
"11","CHAMPAIGN",0.01674499,"On Premises","Micropolitan"
"12","CLARK",0.01595361,"Hybrid","Small metro"
"13","CLERMONT",0.02536895,"Online Only","Large fringe metro"
"14","CLINTON",0.01806892,"Hybrid","Micropolitan"
"15","COLUMBIANA",0.01891669,"Hybrid","Micropolitan"
"16","COSHOCTON",0.01044542,"Hybrid","Micropolitan"
"17","CRAWFORD",0.01604821,"On Premises","Micropolitan"
"18","CUYAHOGA",0.05023842,"Online Only","Large central metro"
"19","DARKE",0.01224485,"Online Only","Micropolitan"
"20","DEFIANCE",0.02464774,"On Premises","Micropolitan"
"21","DELAWARE",0.02131889,"Online Only","Large fringe metro"
"22","ERIE",0.018326,"Hybrid","Micropolitan"
"23","FAIRFIELD",0.01585617,"Hybrid","Large fringe metro"
"24","FAYETTE",0.007402583,"Hybrid","Micropolitan"
"25","FRANKLIN",0.04050314,"Online Only","Large central metro"
"26","FULTON",0.0155176,"On Premises","Medium metro"
"27","GALLIA",0.009720625,"Online Only","Micropolitan"
"28","GEAUGA",0.02518855,"Hybrid","Large fringe metro"
"29","GREENE",0.02476499,"Hybrid","Medium metro"
"30","GUERNSEY",0.006970994,"Hybrid","Micropolitan"
"31","HAMILTON",0.0350743,"Online Only","Large central metro"
"32","HANCOCK",0.0148092,"Hybrid","Micropolitan"
"33","HARDIN",0.01043264,"On Premises","Noncore"
"34","HENRY",0.008903699,"On Premises","Noncore"
"35","HIGHLAND",0.01232017,"On Premises","Noncore"
"36","HOCKING",0.01338955,"Hybrid","Large fringe metro"
"37","HOLMES",0.02187104,"Online Only","Noncore"
"38","HURON",0.02337015,"Hybrid","Micropolitan"
"39","JACKSON",0.01380098,"Hybrid","Micropolitan"
"40","JEFFERSON",0.0277126,"On Premises","Small metro"
"41","KNOX",0.01533207,"Online Only","Micropolitan"
"42","LAKE",0.04177848,"Hybrid","Large fringe metro"
"43","LAWRENCE",0.006873544,"Hybrid","Medium metro"
"44","LICKING",0.01682061,"Hybrid","Large fringe metro"
"45","LOGAN",0.01740499,"On Premises","Micropolitan"
"46","LORAIN",0.03358217,"Hybrid","Large fringe metro"
"47","LUCAS",0.03434827,"Online Only","Medium metro"
"48","MADISON",0.009887082,"Hybrid","Large fringe metro"
"49","MAHONING",0.03245987,"Hybrid","Medium metro"
"50","MARION",0.02079058,"Hybrid","Micropolitan"
"51","MEDINA",0.02889157,"On Premises","Large fringe metro"
"52","MEIGS",0.00623414,"Hybrid","Noncore"
"53","MERCER",0.01812674,"On Premises","Micropolitan"
"54","MIAMI",0.01703211,"Hybrid","Medium metro"
"55","MONROE",0.005805076,"Hybrid","Noncore"
"56","MONTGOMERY",0.03432661,"Hybrid","Medium metro"
"57","MORGAN",0.01409135,"Hybrid","Noncore"
"58","MORROW",0.009130311,"Hybrid","Large fringe metro"
"59","MUSKINGUM",0.03118787,"Hybrid","Micropolitan"
"60","NOBLE",0.01906855,"Hybrid","Noncore"
"61","OTTAWA",0.01004004,"Hybrid","Micropolitan"
"62","PAULDING",0.006288702,"On Premises","Noncore"
"63","PERRY",0.01162144,"Hybrid","Large fringe metro"
"64","PICKAWAY",0.009732997,"Hybrid","Large fringe metro"
"65","PIKE",0.007407978,"On Premises","Noncore"
"66","PORTAGE",0.02025874,"Hybrid","Medium metro"
"67","PREBLE",0.01573775,"Hybrid","Noncore"
"68","PUTNAM",0.01939931,"Hybrid","Noncore"
"69","RICHLAND",0.02701165,"Hybrid","Small metro"
"70","ROSS",0.01073693,"Hybrid","Micropolitan"
"71","SANDUSKY",0.0225279,"Hybrid","Micropolitan"
"72","SCIOTO",0.01948355,"Hybrid","Micropolitan"
"73","SENECA",0.02079577,"Hybrid","Micropolitan"
"74","SHELBY",0.01789187,"Hybrid","Micropolitan"
"75","STARK",0.04917095,"Hybrid","Medium metro"
"76","SUMMIT",0.04392029,"Hybrid","Medium metro"
"77","TRUMBULL",0.05351244,"Hybrid","Medium metro"
"78","TUSCARAWAS",0.02391732,"Hybrid","Micropolitan"
"79","UNION",0.01040355,"Hybrid","Large fringe metro"
"80","VAN WERT",0.02044488,"On Premises","Micropolitan"
"81","WARREN",0.03124082,"Hybrid","Large fringe metro"
"82","WASHINGTON",0.01726767,"Hybrid","Micropolitan"
"83","WAYNE",0.02268753,"Hybrid","Micropolitan"
"84","WILLIAMS",0.02255088,"On Premises","Noncore"
"85","WOOD",0.02085868,"Hybrid","Medium metro"
"86","WYANDOT",0.01026335,"Hybrid","Noncore"
